photo_count,taxon_name,ancestry,rank,rank_level,state_of_matter,kingdom,phylum,subphylum,class,subclass,order,superfamily,family,subfamily,tribe,genus,subgenus,species,subspecies
190328,Apis mellifera,48460/1/47120/372739/47158/184884/47201/124417/326777/47222/630955/47221/199939/538904/47220/578086,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Hymenoptera,Apoidea,Apidae,Apinae,Apini,Apis,Apis,Apis mellifera,
142726,Danaus plexippus,48460/1/47120/372739/47158/184884/47157/47224/47922/61244/134169/522900/48663,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Nymphalidae,Danainae,Danaini,Danaus,No subgenus,Danaus plexippus,
119322,Harmonia axyridis,48460/1/47120/372739/47158/184884/47208/71130/372852/471714/48486/333790/333796/48487,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Coccinelloidea,Coccinellidae,Coccinellinae,Coccinellini,Harmonia,No subgenus,Harmonia axyridis,
78427,Bombus impatiens,48460/1/47120/372739/47158/184884/47201/124417/326777/47222/630955/47221/199939/538883/52775/538900,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,Pyrobombus,Bombus impatiens,
58325,Coccinella septempunctata,48460/1/47120/372739/47158/184884/47208/71130/372852/471714/48486/333790/333796/51703,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Coccinelloidea,Coccinellidae,Coccinellinae,Coccinellini,Coccinella,No subgenus,Coccinella septempunctata,
57962,Vanessa atalanta,48460/1/47120/372739/47158/184884/47157/47224/47922/202067/202066/48507,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Nymphalidae,Nymphalinae,Nymphalini,Vanessa,No subgenus,Vanessa atalanta,
54379,Vanessa cardui,48460/1/47120/372739/47158/184884/47157/47224/47922/202067/202066/48507,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Nymphalidae,Nymphalinae,Nymphalini,Vanessa,No subgenus,Vanessa cardui,
53936,Pieris rapae,48460/1/47120/372739/47158/184884/47157/47224/48508/209720/321384/475032/55690,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Pieridae,Pierinae,Pierini,Pieris,No subgenus,Pieris rapae,
47618,Pachydiplax longipennis,48460/1/47120/372739/47158/184884/47792/47927/1317176/47819/59775,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Odonata,Libelluloidea,Libellulidae,No subfamily,No tribe,Pachydiplax,No subgenus,Pachydiplax longipennis,
47517,Dione vanillae,48460/1/47120/372739/47158/184884/47157/47224/47922/60854/134173/130349/49151,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Nymphalidae,Heliconiinae,Heliconiini,Dione,Agraulis,Dione vanillae,
43311,Papilio glaucus,48460/1/47120/372739/47158/184884/47157/47224/47223/49973/207785/47225/545186,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Papilionidae,Papilioninae,Papilionini,Papilio,Pterourus,Papilio glaucus,
40355,Erythemis simplicicollis,48460/1/47120/372739/47158/184884/47792/47927/1317176/47819/53868,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Odonata,Libelluloidea,Libellulidae,No subfamily,No tribe,Erythemis,No subgenus,Erythemis simplicicollis,
36131,Xylocopa virginica,48460/1/47120/372739/47158/184884/47201/124417/326777/47222/630955/47221/244505/574159/51111/571260,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Hymenoptera,Apoidea,Apidae,Xylocopinae,Xylocopini,Xylocopa,Xylocopoides,Xylocopa virginica,
34794,Plathemis lydia,48460/1/47120/372739/47158/184884/47792/47927/1317176/47819/84550,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Odonata,Libelluloidea,Libellulidae,No subfamily,No tribe,Plathemis,No subgenus,Plathemis lydia,
34524,Papilio polyxenes,48460/1/47120/372739/47158/184884/47157/47224/47223/49973/207785/47225/545183,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Papilionidae,Papilioninae,Papilionini,Papilio,Papilio,Papilio polyxenes,
33385,Bombus griseocollis,48460/1/47120/372739/47158/184884/47201/124417/326777/47222/630955/47221/199939/538883/52775/538890,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,Cullumanobombus,Bombus griseocollis,
29818,Junonia coenia,48460/1/47120/372739/47158/184884/47157/47224/47922/202067/202224/48506,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Nymphalidae,Nymphalinae,Junoniini,Junonia,No subgenus,Junonia coenia,
29022,Hylephila phyleus,48460/1/47120/372739/47158/184884/47157/47224/47653/122493/320552/50341,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Hesperiidae,Hesperiinae,Hesperiini,Hylephila,No subgenus,Hylephila phyleus,
28625,Eristalis tenax,48460/1/47120/372739/47158/184884/47822/48091/372853/414448/49995/326181/364082/520020/52491/520029,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,No superfamily,Syrphidae,Eristalinae,Eristalini,Eristalis,Eristalis,Eristalis tenax,
27572,Phyciodes tharos,48460/1/47120/372739/47158/184884/47157/47224/47922/202067/130316/52924,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Nymphalidae,Nymphalinae,Melitaeini,Phyciodes,No subgenus,Phyciodes tharos,
25640,Strymon melinus,48460/1/47120/372739/47158/184884/47157/47224/47923/125830/125836/522886/50940,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Lycaenidae,Theclinae,Eumaeini,Strymon,No subgenus,Strymon melinus,
25375,Libellula luctuosa,48460/1/47120/372739/47158/184884/47792/47927/1317176/47819/47818,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Odonata,Libelluloidea,Libellulidae,No subfamily,No tribe,Libellula,No subgenus,Libellula luctuosa,
24765,Battus philenor,48460/1/47120/372739/47158/184884/47157/47224/47223/49973/49974/522893/49975,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Papilionidae,Papilioninae,Troidini,Battus,No subgenus,Battus philenor,
24320,Epargyreus clarus,48460/1/47120/372739/47158/184884/47157/47224/47653/320509/1070950/81560,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Hesperiidae,Eudaminae,Eudamini,Epargyreus,No subgenus,Epargyreus clarus,
23961,Halyomorpha halys,48460/1/47120/372739/47158/184884/47744/61267/372868/47743/47742/51276/528234/81924,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Hemiptera,Pentatomoidea,Pentatomidae,Pentatominae,Cappaeini,Halyomorpha,No subgenus,Halyomorpha halys,
23296,Aglais io,48460/1/47120/372739/47158/184884/47157/47224/47922/202067/202066/54469,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Nymphalidae,Nymphalinae,Nymphalini,Aglais,No subgenus,Aglais io,
23255,Nymphalis antiopa,48460/1/47120/372739/47158/184884/47157/47224/47922/202067/202066/49921,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Nymphalidae,Nymphalinae,Nymphalini,Nymphalis,No subgenus,Nymphalis antiopa,
22979,Polistes dominula,48460/1/47120/372739/47158/184884/47201/124417/326777/48740/52747/343248/638567/52756/789375,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Hymenoptera,Vespoidea,Vespidae,Polistinae,Polistini,Polistes,Polistes,Polistes dominula,
22757,Pyrrharctia isabella,48460/1/47120/372739/47158/184884/47157/47607/121850/47606/82089/123834/59676,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Noctuoidea,Erebidae,Arctiinae,Arctiini,Pyrrharctia,No subgenus,Pyrrharctia isabella,
